Business Application Name,Property1,Property2
Aphrodite,Love,Beauty
Boreas,North Wind,Winter
Cronus,Time,Harvest
Demeter,Harvest,Agriculture
Eros,Love,Desire
Faunus,Forest,Wildlife
Gaia,Earth,Motherhood
Hades,Underworld,Wealth
Iris,Rainbow,Messenger
Janus,Beginnings,Transitions
Kratos,Strength,Power
Leto,Motherhood,Night
Morpheus,Dreams,Sleep
Nike,Victory,Speed
Nyx,Night,Mystery
Oceanus,Sea,Water
Poseidon,Sea,Earthquakes
Quirinus,War,Agriculture
Rhea,Motherhood,Fertility
Selene,Moon,Night
Thanatos,Death,Peaceful Passing
Uranus,Sky,Heavens
Venus,Love,Beauty
Zeus,Sky,Thunder
